Name,Size,Type,Alignment,Habitat,MainHabitat,OtherHabitat,Treasure,AC,HP,Initiative,Walk,Burrow,Climb,Fly,Hover,Swim,STR,INT,DEX,WIS,CON,CHA,STR_Save,INT_Save,DEX_Save,WIS_Save,CON_Save,CHA_Save,Proficient,Expertise,Vulnerabilities,Slashing,ImmunitiesConditions,ImmunitiesDamage,Blindsight,Darkvision,Truesight,Tremorsense,PassivePerception,Languages,CR,XP,PB,Traits,NumberOfLegendaryResistance,NumberOfAtk,Atk1Type,Atk1Mod,Atk1Range,Atk1RangeShort,Atk1Damage,Atk1DamageType,Atk2Type,Atk2Mod,Atk2Range,Atk2RangeShort,Atk2Damage,Atk2DamageType,Atk3Type,Atk3Mod,Atk3Range,Atk3RangeShort,Atk3Damage,Atk3DamageType,Atk4Type,Atk4Mod,Atk4Range,Atk4RangeShort,Atk4Damage,Atk4DamageType,SaveDC,SavingThrow,ActionNotes,Ability,SpellSaveDC,SpellSavingThrows,SpellAttack,AtWill,ThreePerDay,TwoPerDay,OnePerDay,BonusAction,Reaction,Amount,LegendaryActionSaveDC,LegendaryActionSavingThrow,LegendaryActions,Lair,xp,LegendaryResistance,LegendaryActions,LairSaveDC,LairSavingThrows,Other
Salamander Inferno Master,Large,Elemental,Neutral Evil,"Planar (Elemental Plane of Fire), Underdark","Planar, Underdark",Elemental Plane of Fire,Armaments,18,256,8,40,,40,,,,7,2,3,0,4,5,7,2,8,5,4,5,,,Cold,,,Fire,,120,,,10,Primordial (Ignan),15,"13,000",5,"Fire Aura, Magic Resistance",,2,Melee,12,5,,30,"Piercing, Fire",Ranged,12,30/90,30,30,"Piercing, Fire",,,,,,,,,,,,,18,Dexterity,Inferno Blast recharges on 5-6 30ft sphere on fail 35 damage and 5 fire damage every tune and 1 exhaustion level,,,,,,,,,Blazing Movement dashes without taking attacks of opportunity and if he moves through a target space they take 7 fire damage,,,,,,,,,,,,
Satyr,Medium,Fey,Chaotic Neutral,"Forest, Planar (Feywild)","Forest, Planar",Feywild,Implements,13,31,3,40,,,,,,1,1,3,0,0,2,1,1,3,0,0,2,"Perception, Stealth",Performance,,,,,,,,,12,"Common, Elvish, Sylvan",1/2,100,2,Magic Resistance,,1,Melee,5,5,,5,Bludgeoning,,,,,,,,,,,,,,,,,,,12,Wisdom,"Akt 1 pushes 10ft on hit, Mockery 90ft on fail 5 psychic damage",,,,,,,,,,,,,,,,,,,,,
Satyr Revelmaster,Medium,Fey,Chaotic Neutral,"Forest, Planar (Feywild)","Forest, Planar",Feywild,Implements,17,82,7,40,,,,,,1,1,4,2,1,3,1,1,7,5,1,3,"Acrobatics, Perception",Performance,,,,,,,,,15,"Common, Elvish, Sylvan",6,"2,300",3,Magic Resistance,,3,Melee,7,5,,13,Bludgeoning,,,,,,,,,,,,,,,,,,,14,Wisdom,"Akt 1 charmed on hit, Fey Melody recharges on 4-6 within 60ft on fail are charmed or takes 10 psychic damage and is frightened",,,,,,,,,,,,,,,,,,,,,
Scarecrow,Medium,Construct,Chaotic Evil,Grassland,Grassland,,None,11,27,3,20,,,,,,0,0,1,0,0,1,0,0,1,0,0,1,,,Fire,,"Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned, Unconscious",Poison,,60,,,10,Common plus one other language,1,200,2,,,1,Melee,3,5,,6,Slashing,,,,,,,,,,,,,,,,,,,11,Wisdom,"Akt 1 on hit frightened, Terrifying Glare within 30ft on fail frightened and paralyzed",,,,,,,,,,,,,,,,,,,,,
Scorpion,Tiny,Beast,Unaligned,Desert,Desert,,None,11,1,0,10,,,,,,-4,-5,0,-1,-1,-4,-4,-5,0,-1,-1,-4,,,,,,,10,,,,9,None,0,10,2,,,1,Melee,2,5,,4,"Piercing,Poison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scout,Medium or Small,Humanoid,Neutral,Any,Any,,"Implements, Individual",13,16,2,30,,,,,,0,0,2,1,1,0,0,0,2,1,1,0,,"Nature,Perception, Stealth, Survival",,,,,,,,,15,Common plus one other language,1/2,100,2,,,2,Melee,4,5,,5,Piercing,Ranged,4,150/600,150,6,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scout Captain,Medium or Small,Humanoid,Neutral,Any,Any,,"Implements, Individual",15,66,5,30,,,,,,0,2,3,2,1,0,0,4,5,2,1,0,,"Perception, Stealth, Survival",,,,,,,,,16,Common plus one other language,3,700,2,,,2,Melee,5,5,,6,Piercing,Ranged,5,150/600,150,7,Piercing,,,,,,,,,,,,,,,Atk 1 and Atk 2 +10 damage if they have advantage,,,,,,,,,Aim has advantage on the next attack roll,Uncanny Dodge,,,,,,,,,,,
Sea Hag,Medium,Fey (Hag),Chaotic Evil,"Coastal, Underwater","Coastal, Underwater",,Arcana,14,52,1,30,,,,,40,3,1,1,1,3,1,3,1,1,1,3,1,,,,,,,,60,,,11,"Common, Giant, Primordial (Aquan)",2,450,2,"Amphibious, Coven Magic, Vile Appearance",,1,Melee,5,5,,10,Slashing,,,,,,,,,,,,,,,,,,,11,Wisdom,"Death Glare recharges on 5-6 on fail and target is frightened and if less than 21 hp drops to 0 otherwise takes 13 psychic damage, Cast disguise self",,,,,,,,,,,,,,,,,,,,,
Seahorse,Tiny,Beast,Unaligned,Underwater,Underwater,,None,12,1,1,5,,,,,20,-5,-5,1,0,-1,-4,-5,-5,1,0,-1,-4,Perception,Stealth,,,,,,,,,12,None,0,0,2,Water Breathing,,0,Melee,0,0,,0,NA,,,,,,,,,,,,,,,,,,,,,Dash without provoking opportunity attacks,,,,,,,,,,,,,,,,,,,,,
Shadow,Medium,Undead,Chaotic Evil,"Planar (Shadowfell), Underdark, Urban","Planar, Underdark, Urban",Shadowfell,None,12,27,2,40,,,,,,-2,-2,2,0,1,-1,-2,-2,2,0,1,-1,,Stealth,Radiant,"Acid, Cold, Fire, Lightning, Thunder","Exhaustion, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious","Necrotic, Poison",,60,,,10,None,1/2,100,2,"Amorphous, Sunlight Weakness",,1,Melee,4,5,,5,Necrotic,,,,,,,,,,,,,,,,,,,,,On a hit -1d4 to strength score if strength is reduced to 0 then dead,,,,,,,,,Shadow Stealth Hide in dim light or darkness,,,,,,,,,,,,
Shadow Demon,Medium,Fiend (Demon),Chaotic Evil,Planar (Abyss),Planar,Abyss,None,14,66,3,30,,,30,30,,-5,2,3,1,1,2,-5,2,5,1,1,4,,Stealth,Radiant,"Acid, Bludgeoning, Cold, Fire, Lightning, Piercing, Slashing, Thunder","Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained","Necrotic, Poison",,120,,,11,"Abyssal, Telepathy",4,"1,100",2,"Demonic Restoration, Incorporeal Movement, Light Sensitivity",,1,Melee,5,5,,16,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shadow Stealth can take the hide action in dim light or darkness,,,,,,,,,,,,
Shadow Dragon,Huge or Large,Dragon (Chromatic),Chaotic Evil,"Planar (Shadowfell), Underdark","Planar, Underdark",Shadowfell,Any,16,189,14,40,,40,80,,,5,2,4,1,4,4,5,2,9,6,4,4,,"Perception, Stealth",,,,,30,120,,,21,"Common, Draconic",13,"10,000",5,"Living Shadow, Sunlight Sensitivity",3,3,Melee,10,10,,15,"Slashing, Necrotic",,,,,,,,,,,,,,,,,,,17,Dexterity,Shadow Breath recharges 5-6 60ft coone 35 Necrotic if reduces a humanoid to 0 a shadow rises from its corpse,,,,,,,,,Take the hide action in dim light or darkness,,3,,,"Pounce, Hide and does 10 Necrotic Damage",Yes,"11,500",4,4,,,
Shambling Mound,Large,Plant,Unaligned,"Forest, Swamp","Forest, Swamp",,None,15,110,-1,30,,,,,20,4,-3,-1,0,3,-3,4,-3,-1,0,3,-3,Stealth,,,"Cold, Fire","Deafened, Exhaustion",Lightning,60,,,,10,None,5,"1,800",3,Lightning Absorption,,3,Melee,7,10,,12,"Bludgeoning, Lightning",,,,,,,,,,,,,,,,,,,15,Strength,"Atk 1 on hit pulls 5ft, Engulf within 5ft grappled blinded restrained and 10 lighting damage every round",,,,,,,,,,,,,,,,,,,,,
Shield Guardian,Large,Construct,Unaligned,Urban,Urban,,None,17,142,-1,30,,,,,,4,-2,-1,0,4,-4,4,-2,-1,0,4,-4,,,,,"Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",Poison,10,60,,,10,Understands all,7,"2,900",3,"Bound, Regeneration, Spell Storing",,2,Melee,7,10,,18,"Bludgeoning, Force",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protection on hit +5 AC,,,,,,,,,,,
Shrieker Fungus,Medium,Plant,Unaligned,Underdark,Underdark,,None,5,13,-5,5,,,,,,-5,-5,-5,-4,0,-5,-5,-5,-5,-4,0,-5,,,,,"Blinded, Charmed, Deafened, Frightened",,30,,,,6,None,0,0,2,,,0,Melee,0,0,,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shriek When there is light it makes a shriek that be heard 300ft away,,,,,,,,,,,
Silver Dragon Wyrmling,Medium,Dragon (Metallic),Lawful Good,"Mountain, Urban","Mountain, Urban",,Arcana,17,45,2,30,,,60,,,4,1,0,0,3,2,4,1,2,2,3,2,Stealth,Perception,,,,Cold,10,60,,,14,Draconic,2,450,2,,,2,Melee,6,5,,9,Piercing,,,,,,,,,,,,,,,,,,,13,Constitution,"Cold Breath 15ft coone 18 cold damage, Paralyzing breath 15ft coone on fail incapacitated second fail paralyzed",,,,,,,,,,,,,,,,,,,,,
Skeleton,Medium,Undead,Lawful Evil,"Planar (Shadowfell), Underdark, Urban","Planar, Underdark, Urban",Shadowfell,None,13,13,3,30,,,,,,0,-2,3,-1,2,-3,0,-2,3,-1,2,-3,,,Bludgeoning,,"Exhaustion, Poisoned",Poison,,60,,,9,What it knew in a past life,1/4,50,2,,,1,Melee,5,5,,6,Piercing,Ranged,5,80/320,80,6,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slaad Tadpole,Tiny,Aberration (Slaad),Chaotic Neutral,Planar (Limbo),Planar,Limbo,Any,12,7,2,30,10,,,,,-2,-4,2,-3,0,-4,-2,-4,2,-3,0,-4,Stealth,,,"Acid, Cold, Fire, Lightning, Thunder",,,,60,,,7,Slaad,1/8,25,2,Magic Resistance,,1,Melee,4,5,,5,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoke Mephit,Small,Elemental,Neutral Evil,Planar (Elemental Planes),Planar,Elemental Planes,None,12,13,2,30,,,30,,,-2,0,2,0,1,0,-2,0,2,0,1,0,"Perception, Stealth",,,,"Exhaustion, Poisoned","Fire, Poison",,60,,,12,"Primordial (Auran, Ignan)",1/4,50,2,Death Burst,,1,Melee,4,5,,4,Slashing,,,,,,,,,,,,,,,,,,,11,"Constitution, Dexterity",Cinder Breath recharges on 6 within 15ft on fail blinded,,,,,,,,,,,,,,,,,,,,,
Solar,Large,Celestial (Angel),Lawful Good,Planar (Upper Planes),Planar,Upper Planes,Any,21,297,20,50,,,150,150,,8,7,6,7,8,10,8,7,6,7,8,10,Perception,,,,"Charmed, Exhaustion, Frightened, Poisoned","Poison, Radiant",,,120,,24,"All, Telepathy",21,"33,000",7,"Divine Awareness, Exalted Restoration, Magic Resistance",4,2,Melee,15,10,,58,"Slashing, Radiant",Ranged,15,120,120,58,"Slashing, Radiant",,,,,,,,,,,,,21,Dexterity,Slaying Bow within 600ft if failed and less than 101 hp it dies if not 60 Piercing and Radiant damage,Charisma,25,Charisma,17,Detect Evil and Good,"Cure Wounds (level 2), Lesser Restoration,  Remove Curse",,"Commune, Control Weather, Dispel Evil and Good, Resurrection","Cast Cure Wounds (level 2), Lesser Restoration, or Remove Curse",,3,25,"Constitution, Dexterity","Blinding Gaze within 120ft and failed blinded, Radiant Teleport they teleport 60ft and everyone within 10ft takes 11 radiant damage on fail",,,,,,,
Spectator,Medium,Aberration (Beholder),Lawful Neutral,Underdark,Underdark,,Any,14,45,2,5,,,30,30,,-1,1,2,2,2,0,-1,1,2,2,2,0,,Perception,,,,,,120,,,16,"Deep Speech, Undercommon, Telepathy",3,700,2,,,2,Melee,4,5,,5,Piercing,,,,,,,,,,,,,,,,,,,12,"Wisdom, Constitution","Eye Rays: 5 psychic damage no reactions or movement and attacks a random person, Paralyzed, 5 psychic damage and frightened, 16 necrotic damage",,,,,,,,,,Reflects missed spells or saved spells 10 force damage,,,,,,,,,,,
Specter,Medium,Undead,Chaotic Evil,"Underdark, Urban","Underdark, Urban",,None,12,22,2,30,,,50,50,,-5,0,2,0,0,0,-5,0,2,0,0,0,,,,"Acid, Bludgeoning, Cold, Fire, Lightning, Piercing, Slashing,  Thunder","Charmed, Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious","Necrotic, Poison",,60,,,10,Understands Common and another language,1,200,2,"Incorporeal Movement, Sunlight Sensitivity",,1,Melee,4,5,,7,Necrotic,,,,,,,,,,,,,,,,,,,,,On hit HP max decreased by damage taken,,,,,,,,,,,,,,,,,,,,,
Sphinx of Lore,Large,Celestial,Lawful Neutral,"Desert, Plannar (Upper Planes)","Desert, Plannar",Upper Planes,Arcana,17,170,10,40,,,60,,,4,4,2,4,3,4,4,4,2,4,3,4,Perception,"Arcana, History, Religion",,"Necrotic, Radiant","Charmed, Frightened",Psychic,,,120,,18,"Celestia, Common",11,"7,200",4,Inscrutable,3,3,Melee,8,5,,14,Slashing,,,,,,,,,,,,,,,,,,,16,Wisdom,Mind-Rending Roar recharges on 5-6 each enemy within 300ft on fail 35 psychic and are incapacitated,Intelligence,16,,8,"Detect Magic, Identify, Mage Hand, Minor Illusion, Prestidigitation",,,"Dispel Magic, Legend Lore, Locate Object, Plane Shift, Remove Curse, Tongues",,,3,16,Constitution,"Arcane Prowl teleport 30ft and atks, Weight of years within 120ft on fail targets gains 1 exhaustion level",Yes,"8,400",4,4,,,Cast Clairvoyance in 1 mile radius
Sphinx of Secrets,Large,Celestial,Lawful Neutral,"Desert, Plannar (Upper Planes)","Desert, Plannar",Upper Planes,Arcana,16,136,5,40,,,60,,,4,4,2,4,3,4,4,4,2,4,3,4,"History, Perception, Religion",,,"Necrotic, Radiant","Charmed, Frightened",Psychic,,,120,,17,"Celestia, Common",8,"3,900",3,"Inscrutable, Magic Resistance",,3,Melee,7,5,,20,"Slashing, Radiant",,,,,,,,,,,,,,,,,,,15,Intelligence,Curse of the Riddle within 60 ft on fail 21 psychic damage and cursed with disadvantage on ability checks and attack rolls and if they take the magic action they must make the save first,Intelligence,15,,7,"Detect Magic, Identify, Prestidigitation",,,"Locate Object, Remove Curse",,,,,,,,,,,,,
Sphinx of Valor,Large,Celestial,Lawful Neutral,"Desert, Plannar (Upper Planes)","Desert, Plannar",Upper Planes,Arcana,17,199,12,40,,,60,,,6,3,0,6,5,4,6,9,6,12,11,4,"Arcana, Perception",Religion,,"Necrotic, Radiant","Charmed, Frightened",Psychic,,,120,,22,"Celestia, Common",17,"18,000",6,Inscrutable,3,3,Melee,12,5,,20,Slashing,,,,,,,,,,,,,,,,,,,20,"Wisdom, Constitution","First Roar within 500ft on fail frightened, Second Roar within 500ft on fail Paralyzed, Third Roar within 500ft on fail 44 thunder damage and is prone",Wisdom,20,Charisma,12,"Detect Evil and Good, Thaumaturgy",,,"Detect Magic, Dispel Magic, Greater Restoration, Heroes' Feast, Zone of Truth",,,3,16,Constitution,"Arcane Prowl teleport 30ft and atks, Weight of years within 120ft on fail targets gains 1 exhaustion level",Yes,"20,000",4,4,,,Cast Clairvoyance in 1 mile radius
Sphinx of Wonder,Tiny,Celestial,Lawful Good,"Desert, Plannar (Upper Planes)","Desert, Plannar",Upper Planes,Arcana,12,24,3,20,,,40,,,-2,2,3,1,1,0,-2,2,3,1,1,0,"Arcana, Religion, Stealth",,,"Necrotic, Psychic, Radiant",,,,60,,,11,"Celestial, Common",1,200,2,Magic Resistance,,1,Melee,5,5,,12,"Slashing, Radiant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On ability checks and saves, +2 to creatures",,,,,,,,,,,
Spider,Tiny,Beast,Unaligned,"Desert, Forest, Swamp, Underdark, Urban","Desert, Forest, Swamp, Underdark, Urban",,None,12,1,2,20,,20,,,,-4,-5,2,0,-1,-4,-4,-5,2,0,-1,-4,Stealth,,,,,,,30,,,10,None,0,10,2,"Spider Climb, Web Walker",,1,Melee,4,5,,3,"Piercing,Poison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spined Devil,Small,Fiend (Devil),Lawful Evil,Planar (Nine Hells),Planar,Nine Hells,None,13,45,2,20,,,40,,,0,0,2,2,1,-1,0,0,2,2,1,-1,,,,Cold,Poisoned,"Fire, Poison",,120,,,12,"Infernal, Telepathy",2,450,2,"Flyby, Magic Resistance",,2,Melee,4,5,,8,"Piercing, Fire",Ranged,4,20/80,20,7,"Piercing, Fire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit Naga,Large,Fiend,Chaotic Evil,"Planar (Lower Planes), Underdark","Planar, Underdark",Lower Planes,Arcana,17,135,3,40,,,,,,4,3,3,2,2,3,4,3,6,5,5,6,,,,,"Charmed, Poisoned",Poison,,60,,,12,"Abyssal, Common",8,"3,900",3,Fiendish Restoration,,3,Melee,7,10,,21,"Piercing, Poison",Ranged,6,60,60,21,Necrotic,,,,,,,,,,,,,,,,Intelligence,14,"Dexterity, Wisdom",6,"Detect Magic, Mage Hand, Minor Illusion, Water Breathing",,"Detect Thoughts, Dimension Door, Hold Person (level 3), Lighting Bolt (Level 4)",,,,,,,,,,,,,,
Sprite,Tiny,Fey,Neutral Good,"Forest, Planar (Feywild)","Forest, Planar",Feywild,Armaments,15,10,4,10,,,40,,,-4,2,4,1,0,0,-4,2,4,1,0,0,Perception,"Acrobatics, Stealth",,,,,,,,,13,"Common, Elvish, Sylvan",1/4,50,2,,,1,Melee,6,5,,6,Piercing,Ranged,6,40/160,40,1,Piercing,,,,,,,,,,,,,10,Charisma,"The second attack is a ranged attack that charms creatures, knows creatures emotions and alignment, Invisibility",,,,,,,,,,,,,,,,,,,,,
Spy,Medium or Small,Humanoid,Neutral,Any,Any,,"Implements, Individual",12,27,4,30,,30,,,,0,1,2,2,0,3,0,1,2,2,0,3,"Deception, Insight, Sleight of Hand","Investigation, Perception, Stealth",,,,,,,,,16,Common plus one other language,1,200,2,,,1,Melee,4,5,,12,"Piercing, Poison",Ranged,4,30/120,30,12,"Piercing, Poison",,,,,,,,,,,,,,,,,,,,,,,,Cunning Action,,,,,,,,,,,,
Spy Master,Medium or Small,Humanoid,Neutral,Any,Any,,"Implements, Individual",19,137,9,30,,30,,,,0,4,5,3,1,3,0,8,9,7,5,3,"Deception, Insight, Investigation, Sleight of Hand","Perception, Stealth",,,,,,,,,21,Common plus two other language,10,"5,900",4,,,3,Melee,9,5,,21,Poison,Ranged,9,30/120,30,21,Poison,,,,,,,,,,,,,16,Constitution,Smoke Bomb within 20ft sphere on fail 28 poison damage and blinded,,,,,,,,,Cunning Action,,,,,,,,,,,,
Steam Mephit,Small,Elemental,Neutral Evil,Planar (Elemental Planes),Planar,Elemental Planes,None,10,17,0,30,,,30,,,-3,0,0,0,0,1,-3,0,0,0,0,1,Stealth,,,,"Exhaustion, Poisoned","Fire, Poison",,60,,,10,"Primordial (Aquan, Ignan)",1/4,50,2,"Blurred Form, Death Burst",,1,Melee,2,5,,4,"Slashing, Fire",,,,,,,,,,,,,,,,,,,10,"Constitution, Dexterity",Steam Breath recharges on 6 15ft cone on fail 5 fire damage and speed decreases by 10,,,,,,,,,,,,,,,,,,,,,
Stirge,Tiny,Monstrosity,Unaligned,"Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark, Urban","Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark, Urban",,None,14,5,3,10,,,40,,,-3,-4,3,-1,0,-2,-3,-4,3,-1,0,-2,,,,,,,,60,,,9,None,1/8,25,2,,,1,Melee,5,5,,6,Piercing,,,,,,,,,,,,,,,,,,,,,Atk 1 on hit they attached and do 5 necrotic damage every round,,,,,,,,,,,,,,,,,,,,,
Stone Giant,Huge,Giant,Neutral,"Hill, Mountain, Underdark","Hill, Mountain, Underdark",,Armaments,17,126,5,40,,,,,,6,0,2,1,5,-1,6,0,5,4,8,-1,"Perception, Stealth",Athletics,,,,,,60,,,14,Giant,7,"2,900",3,,,2,Melee,9,15,,22,Bludgeoning,Ranged,9,60/240,60,15,Bludgeoning,,,,,,,,,,,,,17,Dexterity,,,,,,,,,,,Deflect Missile recharges on 5-6 when hit by a ranged attack reduce the damage by 11 if reduced to 0 redirect the attack to target on fail 11 force damage,,,,,,,,,,,
Stone Golem,Large,Construct,Unaligned,Any,Any,,None,18,220,3,30,,,,,,6,-4,-1,0,5,-5,6,-4,-1,0,5,-5,,,,,"Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned","Poison, Psychic",,120,,,10,Understands common plus two other language,10,"5,900",4,"Immutable Form, Magic Resistance",,2,Melee,10,5,,24,"Bludgeoning, Force",,,,,,,,,,,,,,,,,,,17,"Constitution, Wisdom",,,,,,,,,,Slow recharges on 5-6 cast the slow spell,,,,,,,,,,,,
Storm Giant,Huge,Giant,Chaotic Good,"Coastal, Underwater","Coastal, Underwater",,Armaments,16,230,7,50,,,25,25,50,9,3,2,5,5,4,14,3,2,10,10,9,"Arcanna, History, Perception",Athletics,,Cold,,"Lightning, Thunder",,120,30,,20,"Common, Giant",13,"10,000",5,Amphibious,,2,Melee,14,10,,36,"Slashing, Lightning",Ranged,14,500,500,22,Lightning,,,,,,,,,,,,,18,Dexterity,"Atk 2 on hit blinded and deafened, Lightning Storm recharges on 5-6 10ft radius and 40ft high cylinder on fail 55 lightning damage",Wisdom,18,,10,"Detect Magic, Light",,,Control Weather,,,,,,,,,,,,,
Succubus,Medium,Fiend,Neutral Evil,"Planar (Lower Planes), Urban","Planar, Urban",Lower Planes,Implements,15,71,3,30,,,60,,,-1,2,3,1,1,5,-1,2,3,1,1,5,,"Deception, Insight, Perception, Persuasion, Stealth",,"Cold, Fire, Poison, Psychic",,,,60,,,15,"Abyssal, Common, Infernal, Telepathy",4,"1,100",2,Incubus Form,,2,Melee,7,5,,16,Psychic,,,,,,,,,,,,,,,,,,,15,Constitution,Draining Kiss a charmed target within 5ft on fail 13 psychic damage,Charisma,15,Wisdom,7,Dominate Person (level 8),,,,Shape-Shift,,,,,,,,,,,,
Swarm of Bats,Large,Beast,Unaligned,"Forest, Mountain, Underdark, Urban","Forest, Mountain, Underdark, Urban",,None,12,11,2,5,,,30,,,-3,-4,2,1,0,-3,-3,-4,2,1,0,-3,,,,"Bludgeoning, Piercing, Slashing","Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",,60,,,,11,None,1/4,50,2,Swarm,,1,Melee,4,5,,5,Piercing,,,,,,,,,,,,,,,,,,,,,Deals 2 damage if bloodied,,,,,,,,,,,,,,,,,,,,,
Swarm of Crawling Claws,Medium,Undead,Neutral Evil,Any,Any,,None,12,49,2,30,,30,,,,2,-3,2,0,0,-3,2,-3,2,0,0,-3,,,,"Bludgeoning, Piercing, Slashing","Charmed, Exhaustion, Frightened, Grappled, Incapacitated, Paralyzed, Petrified, Poisoned, Prone, Restrained, Stunned","Necrotic, Poison",30,,,,10,Understands Common,3,700,2,Swarm,,1,Melee,4,5,,20,Necrotic,,,,,,,,,,,,,,,,,,,,,11 damage if bloodied,,,,,,,,,,,,,,,,,,,,,
Swarm of Dretches,Large,Fiend (Demon),Chaotic Evil,Planar (Abyss),Planar,Abyss,None,12,45,0,40,,,,,,2,-3,0,-1,2,-4,2,-3,0,-1,2,-4,,,,"Bludgeoning, Cold, Fire, Lightning, Piercing, Slashing","Charmed, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Stunned",Poison,,60,,,9,"Abyssal, Telepathy",4,"1,100",2,"Fetid Aura, Swarm",,2,Melee,4,5,,12,Slashing,,,,,,,,,,,,,,,,,,,,,Does 2 less damaged if bloodied,,,,,,,,,,,,,,,,,,,,,
Swarm of Insects,Medium,Beast,Unaligned,"Desert, Forest, Grassland, Hill, Swamp, Underdark, Urban","Desert, Forest, Grassland, Hill, Swamp, Underdark, Urban",,None,11,19,1,20,,20,20,,,-4,-5,1,-2,2,-5,-4,-5,1,-2,2,-5,,,,"Bludgeoning, Piercing, Slashing","Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",,30,,,,8,None,1/2,100,2,"Spider Climb, Swarm",,1,Melee,3,5,,6,Poison,,,,,,,,,,,,,,,,,,,,,Deals 3 damage if bloodied,,,,,,,,,,,,,,,,,,,,,
Swarm of Larvae,Large,Fiend,Neutral Evil,Planar (Lower Planes),Planar,Lower Planes,None,13,22,0,30,,,,,,2,-2,0,1,2,-4,2,-2,0,1,2,-4,,,,"Bludgeoning, Piercing, Slashing","Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",,,60,,,11,Understands all,1,200,2,Swarm,,1,Melee,4,5,,9,Necrotic,,,,,,,,,,,,,,,,,,,,,Does 2 less damaged if bloodied,,,,,,,,,,,,,,,,,,,,,
Swarm of Lemures,Large,Fiend (Devil),Lawful Evil,Planar (Nine Hells),Planar,Nine Hells,None,12,45,-2,40,,,,,,2,-5,-2,1,2,-4,2,-5,-2,1,2,-4,,,,"Bludgeoning, Cold, Piercing, Slashing","Charmed, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Stunned","Fire, Poison",,120,,,11,Understands Infernal,3,700,2,"Hellish Restoration, Swarm",,2,Melee,4,5,,11,Poison,,,,,,,,,,,,,,,,,,,,,Does 2 less damaged if bloodied,,,,,,,,,,,,,,,,,,,,,
Swarm of Piranhas,Medium,Beast,Unaligned,Underwater,Underwater,,None,13,28,3,5,,,,,40,1,-5,3,-2,-1,-4,1,-5,3,-2,-1,-4,,,,"Bludgeoning, Piercing, Slashing","Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",,,60,,,8,None,1,200,2,"Swarm, Water Breathing",,1,Melee,5,5,,8,Piercing,,,,,,,,,,,,,,,,,,,,,"Akt. has adv. if the target is already hurt, Deals 5 damage if bloodied",,,,,,,,,,,,,,,,,,,,,
Swarm of Rats,Medium,Beast,Unaligned,"Forest, Swamp, Underdark, Urban","Forest, Swamp, Underdark, Urban",,None,10,14,0,30,,30,,,,-1,-4,0,0,-1,-4,-1,-4,2,0,-1,-4,,,,"Bludgeoning, Piercing, Slashing","Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",,,30,,,10,None,1/4,50,2,Swarm,,1,Melee,2,5,,5,Piercing,,,,,,,,,,,,,,,,,,,,,Deals 2 damage if bloodied,,,,,,,,,,,,,,,,,,,,,
Swarm of Ravens,Medium,Beast,Unaligned,"Hill, Swamp, Urban","Hill, Swamp, Urban",,None,12,11,2,10,,,50,,,-2,-3,2,1,1,-2,-2,-3,2,1,1,-2,,Perception,,"Bludgeoning, Piercing, Slashing","Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",,,,,,15,None,1/4,50,2,Swarm,,1,Melee,4,5,,5,Piercing,,,,,,,,,,,,,,,,,,,10,Wisdom,"Deals 2 damage if bloodied,Wis. Save or be deafened recharges on a 6.",,,,,,,,,,,,,,,,,,,,,
